9,00001001,60,00111100,69,01000101
91,01011011,111,01101111,202,11001010
35,00100011,83,01010011,118,01110110
76,01001100,18,00010010,94,01011110
113,01110001,74,01001010,187,10111011
98,01100010,97,01100001,195,11000011
43,00101011,3,00000011,46,00101110
12,00001100,100,01100100,112,01110000
58,00111010,1,00000001,59,00111011
113,01110001,0,00000000,113,01110001
39,00100111,24,00011000,63,00111111
58,00111010,36,00100100,94,01011110
99,01100011,69,01000101,168,10101000
6,00000110,3,00000011,9,00001001
98,01100010,121,01111001,219,11011011
40,00101000,60,00111100,100,01100100
33,00100001,28,00011100,61,00111101
68,01000100,26,00011010,94,01011110
96,01100000,120,01111000,216,11011000
109,01101101,51,00110011,160,10100000
73,01001001,53,00110101,126,01111110
69,01000101,33,00100001,102,01100110
7,00000111,125,01111101,132,10000100
94,01011110,72,01001000,166,10100110
118,01110110,84,01010100,202,11001010
7,00000111,67,01000011,74,01001010
85,01010101,91,01011011,176,10110000
108,01101100,67,01000011,175,10101111
102,01100110,84,01010100,186,10111010
71,01000111,83,01010011,154,10011010
95,01011111,0,00000000,95,01011111
5,00000101,91,01011011,96,01100000
107,01101011,30,00011110,137,10001001
73,01001001,83,01010011,156,10011100
7,00000111,21,00010101,28,00011100
101,01100101,92,01011100,193,11000001
8,00001000,43,00101011,51,00110011
46,00101110,0,00000000,46,00101110
104,01101000,51,00110011,155,10011011
38,00100110,89,01011001,127,01111111
74,01001010,115,01110011,189,10111101
98,01100010,123,01111011,221,11011101
87,01010111,96,01100000,183,10110111
83,01010011,26,00011010,109,01101101
78,01001110,32,00100000,110,01101110
115,01110011,70,01000110,185,10111001
97,01100001,44,00101100,141,10001101
59,00111011,57,00111001,116,01110100
50,00110010,45,00101101,95,01011111
105,01101001,4,00000100,109,01101101
57,00111001,93,01011101,150,10010110
91,01011011,17,00010001,108,01101100
35,00100011,66,01000010,101,01100101
20,00010100,45,00101101,65,01000001
57,00111001,79,01001111,136,10001000
119,01110111,36,00100100,155,10011011
105,01101001,62,00111110,167,10100111
4,00000100,113,01110001,117,01110101
114,01110010,77,01001101,191,10111111
30,00011110,109,01101101,139,10001011
87,01010111,98,01100010,185,10111001
35,00100011,73,01001001,108,01101100
90,01011010,55,00110111,145,10010001
26,00011010,118,01110110,144,10010000
22,00010110,76,01001100,98,01100010
79,01001111,98,01100010,177,10110001
90,01011010,51,00110011,141,10001101
102,01100110,46,00101110,148,10010100
80,01010000,61,00111101,141,10001101
60,00111100,47,00101111,107,01101011
122,01111010,104,01101000,226,11100010
0,00000000,10,00001010,10,00001010
75,01001011,13,00001101,88,01011000
71,01000111,94,01011110,165,10100101
6,00000110,45,00101101,51,00110011
117,01110101,30,00011110,147,10010011
15,00001111,41,00101001,56,00111000
38,00100110,53,00110101,91,01011011
43,00101011,82,01010010,125,01111101
7,00000111,92,01011100,99,01100011
65,01000001,41,00101001,106,01101010
66,01000010,114,01110010,180,10110100
92,01011100,78,01001110,170,10101010
101,01100101,91,01011011,192,11000000
118,01110110,100,01100100,218,11011010
31,00011111,93,01011101,124,01111100
50,00110010,124,01111100,174,10101110
46,00101110,93,01011101,139,10001011
114,01110010,33,00100001,147,10010011
12,00001100,96,01100000,108,01101100
105,01101001,80,01010000,185,10111001
66,01000010,72,01001000,138,10001010
115,01110011,125,01111101,240,11110000
10,00001010,112,01110000,122,01111010
90,01011010,27,00011011,117,01110101
56,00111000,120,01111000,176,10110000
65,01000001,64,01000000,129,10000001
69,01000101,88,01011000,157,10011101
34,00100010,79,01001111,113,01110001
3,00000011,60,00111100,63,00111111
110,01101110,37,00100101,147,10010011
43,00101011,83,01010011,126,01111110
88,01011000,70,01000110,158,10011110
20,00010100,6,00000110,26,00011010
28,00011100,115,01110011,143,10001111
6,00000110,66,01000010,72,01001000
92,01011100,92,01011100,184,10111000
102,01100110,101,01100101,203,11001011
123,01111011,69,01000101,192,11000000
109,01101101,73,01001001,182,10110110
100,01100100,54,00110110,154,10011010
77,01001101,21,00010101,98,01100010
123,01111011,31,00011111,154,10011010
81,01010001,35,00100011,116,01110100
109,01101101,115,01110011,224,11100000
122,01111010,8,00001000,130,10000010
126,01111110,25,00011001,151,10010111
21,00010101,45,00101101,66,01000010
101,01100101,86,01010110,187,10111011
16,00010000,25,00011001,41,00101001
110,01101110,119,01110111,229,11100101
37,00100101,127,01111111,164,10100100
1,00000001,5,00000101,6,00000110
70,01000110,12,00001100,82,01010010
90,01011010,74,01001010,164,10100100
123,01111011,54,00110110,177,10110001
78,01001110,62,00111110,140,10001100
72,01001000,71,01000111,143,10001111
45,00101101,5,00000101,50,00110010
47,00101111,59,00111011,106,01101010
42,00101010,67,01000011,109,01101101
10,00001010,114,01110010,124,01111100
57,00111001,91,01011011,148,10010100
89,01011001,3,00000011,92,01011100
125,01111101,78,01001110,203,11001011
82,01010010,69,01000101,151,10010111
58,00111010,4,00000100,62,00111110
17,00010001,69,01000101,86,01010110
63,00111111,94,01011110,157,10011101
24,00011000,3,00000011,27,00011011
69,01000101,40,00101000,109,01101101
36,00100100,58,00111010,94,01011110
49,00110001,55,00110111,104,01101000
24,00011000,33,00100001,57,00111001
18,00010010,97,01100001,115,01110011
78,01001110,113,01110001,191,10111111
7,00000111,53,00110101,60,00111100
107,01101011,46,00101110,153,10011001
112,01110000,116,01110100,228,11100100
127,01111111,33,00100001,160,10100000
81,01010001,29,00011101,110,01101110
12,00001100,118,01110110,130,10000010
46,00101110,118,01110110,164,10100100
32,00100000,34,00100010,66,01000010
115,01110011,87,01010111,202,11001010
124,01111100,25,00011001,149,10010101
46,00101110,114,01110010,160,10100000
107,01101011,52,00110100,159,10011111
105,01101001,110,01101110,215,11010111
64,01000000,76,01001100,140,10001100
118,01110110,73,01001001,191,10111111
18,00010010,4,00000100,22,00010110
7,00000111,3,00000011,10,00001010
48,00110000,76,01001100,124,01111100
37,00100101,116,01110100,153,10011001
109,01101101,48,00110000,157,10011101
109,01101101,82,01010010,191,10111111
51,00110011,49,00110001,100,01100100
71,01000111,90,01011010,161,10100001
49,00110001,110,01101110,159,10011111
29,00011101,3,00000011,32,00100000
74,01001010,84,01010100,158,10011110
106,01101010,65,01000001,171,10101011
119,01110111,20,00010100,139,10001011
80,01010000,42,00101010,122,01111010
114,01110010,28,00011100,142,10001110
26,00011010,87,01010111,113,01110001
52,00110100,48,00110000,100,01100100
66,01000010,102,01100110,168,10101000
9,00001001,2,00000010,11,00001011
116,01110100,108,01101100,224,11100000
105,01101001,89,01011001,194,11000010
124,01111100,117,01110101,241,11110001
100,01100100,90,01011010,190,10111110
68,01000100,105,01101001,173,10101101
10,00001010,12,00001100,22,00010110
104,01101000,97,01100001,201,11001001
37,00100101,39,00100111,76,01001100
32,00100000,122,01111010,154,10011010
33,00100001,26,00011010,59,00111011
99,01100011,89,01011001,188,10111100
50,00110010,88,01011000,138,10001010
82,01010010,20,00010100,102,01100110
94,01011110,28,00011100,122,01111010
72,01001000,18,00010010,90,01011010
25,00011001,24,00011000,49,00110001
39,00100111,106,01101010,145,10010001
123,01111011,28,00011100,151,10010111
24,00011000,18,00010010,42,00101010
67,01000011,44,00101100,111,01101111
83,01010011,45,00101101,128,10000000
54,00110110,0,00000000,54,00110110
10,00001010,67,01000011,77,01001101
6,00000110,91,01011011,97,01100001
99,01100011,57,00111001,156,10011100
70,01000110,19,00010011,89,01011001
34,00100010,50,00110010,84,01010100
114,01110010,102,01100110,216,11011000
20,00010100,43,00101011,63,00111111
118,01110110,0,00000000,118,01110110
100,01100100,109,01101101,209,11010001
105,01101001,66,01000010,171,10101011
97,01100001,12,00001100,109,01101101
15,00001111,118,01110110,133,10000101
33,00100001,23,00010111,56,00111000
12,00001100,5,00000101,17,00010001
38,00100110,1,00000001,39,00100111
10,00001010,6,00000110,16,00010000
125,01111101,6,00000110,131,10000011
102,01100110,38,00100110,140,10001100
75,01001011,114,01110010,189,10111101
85,01010101,126,01111110,211,11010011
114,01110010,50,00110010,164,10100100
51,00110011,2,00000010,53,00110101
76,01001100,29,00011101,105,01101001
9,00001001,115,01110011,124,01111100
72,01001000,5,00000101,77,01001101
116,01110100,53,00110101,169,10101001
107,01101011,65,01000001,172,10101100
43,00101011,79,01001111,122,01111010
62,00111110,76,01001100,138,10001010
47,00101111,76,01001100,123,01111011
21,00010101,120,01111000,141,10001101
18,00010010,89,01011001,107,01101011
13,00001101,94,01011110,107,01101011
92,01011100,108,01101100,200,11001000
105,01101001,85,01010101,190,10111110
6,00000110,100,01100100,106,01101010
48,00110000,40,00101000,88,01011000
26,00011010,30,00011110,56,00111000
5,00000101,15,00001111,20,00010100
63,00111111,101,01100101,164,10100100
37,00100101,59,00111011,96,01100000
113,01110001,95,01011111,208,11010000
96,01100000,112,01110000,208,11010000
80,01010000,32,00100000,112,01110000
62,00111110,10,00001010,72,01001000
12,00001100,93,01011101,105,01101001
64,01000000,29,00011101,93,01011101
90,01011010,103,01100111,193,11000001
22,00010110,19,00010011,41,00101001
5,00000101,36,00100100,41,00101001
83,01010011,127,01111111,210,11010010
100,01100100,5,00000101,105,01101001
92,01011100,76,01001100,168,10101000
26,00011010,113,01110001,139,10001011
83,01010011,12,00001100,95,01011111
102,01100110,7,00000111,109,01101101
52,00110100,80,01010000,132,10000100
29,00011101,0,00000000,29,00011101
87,01010111,79,01001111,166,10100110
74,01001010,124,01111100,198,11000110
3,00000011,61,00111101,64,01000000
67,01000011,16,00010000,83,01010011
112,01110000,73,01001001,185,10111001
84,01010100,116,01110100,200,11001000
101,01100101,127,01111111,228,11100100
56,00111000,62,00111110,118,01110110
56,00111000,48,00110000,104,01101000
17,00010001,117,01110101,134,10000110
57,00111001,9,00001001,66,01000010
108,01101100,62,00111110,170,10101010
79,01001111,102,01100110,181,10110101
78,01001110,33,00100001,111,01101111
4,00000100,16,00010000,20,00010100
100,01100100,71,01000111,171,10101011
62,00111110,23,00010111,85,01010101
91,01011011,110,01101110,201,11001001
7,00000111,125,01111101,132,10000100
22,00010110,98,01100010,120,01111000
30,00011110,118,01110110,148,10010100
80,01010000,27,00011011,107,01101011
47,00101111,111,01101111,158,10011110
114,01110010,11,00001011,125,01111101
87,01010111,78,01001110,165,10100101
103,01100111,30,00011110,133,10000101
90,01011010,34,00100010,124,01111100
54,00110110,81,01010001,135,10000111
35,00100011,71,01000111,106,01101010
109,01101101,59,00111011,168,10101000
112,01110000,37,00100101,149,10010101
68,01000100,53,00110101,121,01111001
13,00001101,101,01100101,114,01110010
19,00010011,107,01101011,126,01111110
8,00001000,96,01100000,104,01101000
81,01010001,69,01000101,150,10010110
124,01111100,100,01100100,224,11100000
1,00000001,125,01111101,126,01111110
29,00011101,5,00000101,34,00100010
80,01010000,102,01100110,182,10110110
120,01111000,40,00101000,160,10100000
22,00010110,30,00011110,52,00110100
127,01111111,19,00010011,146,10010010
4,00000100,20,00010100,24,00011000
106,01101010,74,01001010,180,10110100
123,01111011,67,01000011,190,10111110
86,01010110,60,00111100,146,10010010
101,01100101,122,01111010,223,11011111
93,01011101,41,00101001,134,10000110
40,00101000,60,00111100,100,01100100
81,01010001,51,00110011,132,10000100
40,00101000,59,00111011,99,01100011
